id,detalle,precio
2843C5,DRIMER VISCO CARBON,"S/.1.525,00"
2127040601,SIMMONS BEAUTYREST RECHARGE,"S/.2.400,00"
458432,SIMMONS HOSPITALITY FOUR POINTS SHERATON EUROTOP,"S/.2.070,00"
2115021801,GEMINIS,"S/.1.525,00"
2127040791,SIMMONS BEAUTYREST RECHARGE PT,"S/.2.250,00"
2844C1,TERRA LATEX ALOE VERA,"S/.2.070,00"
2115021301,ANTARES,"S/.1.520,00"
2127041101,SIMMONS BEAUTYREST SILVER PT,"S/.2.350,00"
2136021901,HIPERSOFT DRILL,"S/.2.065,00"
284303,POCKET RAICES SIPAN,"S/.1.520,00"
2127040801,SIMMONS BEAUTYREST WORLD CLASS,"S/.2.265,00"
2146020301,DRIMER FOREVER YOUNG,"S/.2.065,00"
2125020401,ACQUA VISCO,"S/.1.515,00"
2127040901,SIMMONS BEAUTYREST WORLD CLASS PT,"S/.2.505,00"
267479,FIRENZE ANTISTRESS PT,"S/.2.065,00"
458305,CIC PILOU,"S/.1.515,00"
2127040101,SIMMONS BEAUTYSLEEP,"S/.2.330,00"
267443,GEMINIS,"S/.2.065,00"
4127040401,SIMMONS BLACK NAPA PT,"S/.2.600,00"
2916020093,NATURE EURO SOYA POCKET,"S/.2.065,00"
4917040002,SIMMONS EVIE PLUSH LUX FIRM,"S/.2.570,00"
4917040092,SIMMONS EVIE PLUSH LUX FIRM,"S/.2.485,00"
4126041401,SIMMONS HYDE PARK PLUSH,"S/.2.060,00"
4127041201,SIMMONS FELICITY RECHARGE,"S/.2.355,00"
2116021101,DRIMER FRESH,"S/.2.060,00"
4126050301,SERTA HYBRID OBSERVER,"S/.2.055,00"
4917040003,SIMMONS FOUR POINTS SHERATON,"S/.2.420,00"
265328,SUPER FOAM DRILL,"S/.1.510,00"
4127041302,SIMMONS HARMONY HILTON,"S/.2.400,00"
2116024891,DRIMER TENCEL,"S/.2.050,00"
4917040004,SIMMONS HEAVENLY,"S/.2.660,00"
